Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat,Lon
Alcohol Intoxication,20133437,12/19/2013 - 12:40am,12/19/13,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), REPRESENTING AS ONES OWN ANOTHERS OPER LIC/M",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
Assault,2013195264,12/07/2013 - 2:15am,12/7/13,ASSAULT 2ND/F,No,Closed - Lexington Police Report,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
DUI,20131499,05/27/2013 - 2:05am,5/27/13,"OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, CARELESS DRIVING",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
Alcohol Intoxication,20131402,05/16/2013 - 6:20pm,5/16/13,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS/M,No,Cleared By Arrest,SOUTH MLK BLVD & EAST MAXWELL ST,38.042159,-84.499875
DUI,20131222,04/28/2013 - 12:37am,4/28/13,"WANTON ENDANGERMENT 1ST/F, FLEEING OR EVADING POLICE 1ST (MOTOR VEHICLE)/F, FLEEING OR EVADING POLICE 2ND (ON FOOT)/M, OPER MTR VEH U/INLFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, DISREGARDING TRAFFIC CONT DEV-TRAFFIC LIGHT, IMPROPER LANE USAGE-VEHICLES KEEP TO RIGHT EXCEPT TO PASS, RECKLESS DRIVING",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
DUI,20130992,04/07/2013 - 3:10am,4/7/13,OPERATING MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC .08 1ST/M,No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
All Other Offenses,20143101,11/06/2014 - 9:51pm,11/6/14,"SPEEDING 15 MPH OVER LIMIT, RECKLESS DRIVING, FLEEING OR EVADING POLICE 1ST DEGREE (MOTOR VEHICLE)/F, LEAVING SCENE OF ACCIDENT - FAILURE TO RENDER AID OR ASSISTANCE/M, NO OPERATORS-MOPED LICENSE/M",No,Open,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
Theft,20142683,09/30/2014 - 12:30am,9/30/14,"Tbut or Disp Contents from vehicle $500 or more but u/$10,000/f",No,Open,East Maxwell St and Martin Luther King,38.042159,-84.499875
DUI,20141588,06/14/2014 - 1:00am,6/14/14,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, FAILURE TO PRODUCE INSURANCE CARD",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
Drug Violations,20141499,06/05/2014 - 2:30pm,6/5/14,"Failure to Wear Seat Belt/V, Poss of Marijuana/M, Poss Cont Sub, 2nd Degree-Drug Unspecified/M.",No,Citation issued,East Maxwell St and Martin Luther King,38.042159,-84.499875
DUI,20141384,05/23/2014 - 10:54am,5/23/14,"VEHICLE A NUISANCE, NOISY, ETC., POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
All Other Offenses,20140800,03/29/2014 - 6:22pm,3/29/14,"Improper Turning/Vx2, Failure of Owner to maintain required INS/SEC 1st/M, No operators-Moped License/Mx2.",No,Cleared By Arrest,South Martin Luther King BLVD & East Maxwell,38.042159,-84.499875
DUI,20140337,02/08/2014 - 12:25am,2/8/14,"CARELESS DRIVING, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
DUI,20140249,01/30/2014 - 1:47am,1/30/14,"FAILURE TO ILLUMINATE HEAD LAMPS, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
DUI,20140070,01/11/2014 - 12:40am,1/11/14,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M",No,Cleared By Arrest,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875
DUI,20140008,01/02/2014 - 12:20am,1/2/14,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, IMPROPER DISPLAY OF REGISTRATION PLATES",No,Cleared By Arrest,S MLK BLVD & EAST MAXWELL ST,38.042159,-84.499875
Alcohol Intoxication,201314622,03/10/2013 - 4:40pm,3/11/13,ALCOHOL INTOXICATION,No,Closed - N/A,SOUTH LIMESTONE ST & CAMPUS DR,38.042342,-84.502708
DUI,20142538,09/17/2014 - 12:49am,9/17/14,"Oper Mtr Vehicle u/influ Alc/Drugs/Etc. .08 (agg circum) 1st/m, Operating on sus or rev oper license/m, Disregarding Traffic Cont Dev-Traffic light/v.",No,Cleared By Arrest,South Limestone and Campus Drive,38.042342,-84.502708
DUI,2015114273,07/09/2015 - 1:05am,7/13/15,"DUI ALC/DRUGS/ECT 1ST OFFENSE, DISREGARDING TRAFFIC CONTROL DEVICE",No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & CAMPUS DR,38.042342,-84.502708
Drug Violations,20142460,09/10/2014 - 3:30am,9/10/14,"One Headlight/v, Disregard Traffic Regulation-1st offense/v, Oper Mtr Vehicle U/influ Alc/Drugs/Etc. .08(agg circum)1st/m, Poss of Marijuana/m, Drug Paraphernalia-Buy/Possess/m, Intermediate Licensing Violations/v.",No,Cleared By Arrest,Winslow St and South Upper,38.042398,-84.50481
DUI,20141024,04/20/2014 - 2:24am,4/20/14,"RECKLESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, NO OPERATORS-MOPED LICENSE/M",No,Cleared By Arrest,SOUTH UPPER ST & WINSLOW ST,38.042398,-84.50481
DUI,20140812,03/31/2014 - 3:01am,3/31/14,Reckless Driving/V. Operating Vehicle with Expired Operators License/M. Failure to Produce Insurance Card/V. Oper Mtr Veh U/Influ Alc/Drugs/ETC. .08(AGG Circum) 2nd/M.,No,Cleared By Arrest,Winslow Street & South Upper Street,38.042398,-84.50481
DUI,20150460,02/22/2015 - 4:03am,2/22/15,"DRIVING TOO FAST FOR TRAFFIC CONDITIONS, CARELESS DRIVING, OPERATING ON SUS OR REV OPER LICENSE/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,SOUTH UPPER ST & WINSLOW ST,38.042398,-84.50481
Criminal Mischief,2013191839,12/01/2013 - 2:00am,12/3/13,CRIMINAL MISCHIEF 2ND/M,No,Closed - Lexington Police Report,236 LEXINGTON AVE,38.042424,-84.497558
Criminal Mischief,2012050531,04/03/2012 - 12:01am,8/12/13,CRIMINAL MISCHIEF 1ST/F,No,Closed - Lexington Police Report,236 LEXINGTON AVE,38.042424,-84.497558
Arson,2012056480,04/14/2012 - 3:51am,8/12/13,ARSON 2ND/F,No,Closed - Lexington Police Report,236 LEXINGTON AVE,38.042424,-84.497558
Theft,2012151982,09/15/2012 - 9:00pm,8/12/13,TBUT DISP FROM AUTO/M,No,Closed - Lexington Police Report,236 LEXINGTON AVE,38.042424,-84.497558
DUI,20142275,08/24/2014 - 3:00am,8/24/14,"DRIVING ON DUI SUSPENDED LICENSE - 1ST OFFENSE/M, OPERATING ON SUS OR REV OPER LICENSE/M, DISORDERLY CONDUCT 2ND/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 - 2ND OFF/M",No,Cleared By Arrest,544 SOUTH UPPER ST,38.04245,-84.504158
Drug Violations,20140886,04/08/2014 - 12:45am,4/8/14,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, LEAVING SCENE OF ACCIDENT-FAILURE TO RENDER AID OR ASSISTANCE/M, POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M",No,Cleared By Arrest,544 SOUTH UPPER ST,38.04245,-84.504158
DUI,20142302,08/26/2014 - 12:45am,8/26/14,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, FAILURE TO PRODUCE INSURANCE CARD",No,Cleared By Arrest,355 SOUTH LIMESTONE ST,38.042473,-84.503072
Alcohol Intoxication,2013201396,12/18/2013 - 3:41am,12/19/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,535 SOUTH UPPER ST,38.042626,-84.505064
Alcohol Intoxication,20151095,05/09/2015 - 3:47am,5/9/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,535 SOUTH UPPER ST,38.042626,-84.505064
All Other Offenses,20132331,09/03/2013 - 7:50pm,9/3/13,INDECENT EXPOSURE 2ND/M,No,Open,SOUTH MLK BLVD,38.042634,-84.49901
Alcohol Intoxication,20131420,05/19/2013 - 2:21am,5/19/13,"CRIMINAL TRESPASSING 2ND/M X2, ALCOHOL INTOXICATION IN A PUB PLACE",No,Cleared By Arrest,SOUTH MLK BLVD,38.042634,-84.49901
Drug Violations,20130930,04/02/2013 - 12:27am,4/2/13,"PERSCRIPTION CONT SUB NOT PROPER CONTAIN 1ST/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE), CRIMINAL TRESPASSING 3RD",No,Cleared By Arrest,SOUTH MARTIN LUTHER KING BLVD,38.042634,-84.49901
Alcohol Intoxication,20141761,07/06/2014 - 1:00am,7/6/14,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), CRIMINAL TRESPASSING 2ND/M",No,Cleared By Arrest,SOUTH MLK BLVD,38.042634,-84.49901
Criminal Trespass,20140623,03/10/2014 - 7:28am,3/10/14,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,SOUTH MLK BLVD,38.042634,-84.49901
Alcohol Intoxication,201534181,11/29/2015 - 1:05am,11/29/15,ALCOHOL INTOXICATION X2,No,Closed,SOUTH MARTIN LUTHER KING BLVD,38.042634,-84.49901
Drug Violations,20151982,09/05/2015 - 1:55am,9/5/15,"DISREGARD TRAFFIC REGULATION 1ST OFFENSE, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,SOUTH MARTIN LUTHER KING BLVD,38.042634,-84.49901
DUI,20151593,07/19/2015 - 1:12am,7/19/15,"POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,SOUTH MARTIN LUTHER KING BLVD,38.042634,-84.49901
Disorderly Conduct,2013150412,09/20/2013 - 7:30pm,9/23/13,DISORDERLY CONDUCT 2ND,No,Closed - Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,38.042646,-84.502291
Alcohol Intoxication,2013130555,08/21/2013 - 2:06am,8/23/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Disorderly Conduct,20131792,06/30/2013 - 2:36am,6/30/13,DISORDERLY CONDUCT 2ND/M,No,Cleared By Arrest,PINE STREET & SOUTH LIMESTONE STREET,38.042646,-84.502291
Disorderly Conduct,20131646,06/12/2013 - 12:20am,6/12/13,"DISORDERLY CONDUCT 2ND/M, RESISTING ARREST/M, CRIMINAL MISCHIEF 3RD/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Drug Violations,20131534,05/31/2013 - 11:30pm,5/31/13,"DRUG PARAPHERNALIA - BUY/POSSESS/M, POSS OF MARIJUANA/M, FAILURE TO WEAR SEAT BELTS",No,Citation issued,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
DUI,2013068474,05/14/2013 - 1:46am,5/15/13,"DUI ALC/DRUGS/ECT 1ST OFFENSE/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA-BUY/POSSESS/M X2, FAILURE TO ILLUMINATE HEAD LAMPS, PUBLIC INTOXICATION CONTROLLED SUBSTANCE X2,",No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Disorderly Conduct,2013047259,04/05/2013 - 1:20pm,4/11/13,DISORDERLY CONDUCT 2ND,No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Theft,2013016204,02/01/2013 - 11:00pm,2/5/13,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,No,Closed - Lexington Police Report,S LIMESTONE ST & PINE ST,38.042646,-84.502291
Theft,2013016205,02/01/2013 - 11:00pm,2/5/13,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,No,Closed - Lexington Police Report,S LIMESTONE ST & PINE ST,38.042646,-84.502291
DUI,2013016305,02/02/2013 - 5:21am,2/4/13,DUI ALC/DRUGS/ECT 1ST W/AGG CIRCUMSTANCES,No,Closed - Lexington Police Report,S LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,2013000081,01/01/2013 - 12:25am,1/3/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE,No,Closed - Lexington Police Report,PINE ST & S LIMESTONE ST,38.042646,-84.502291
Alcohol Intoxication,2013000091,01/01/2013 - 1:30am,1/3/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE,No,Closed - Lexington Police Report,PINE ST & S LIMESTONE ST,38.042646,-84.502291
DUI,20143345,12/03/2014 - 3:41am,12/3/14,"Disregard Traffic Regulation 1st offense/v, Reckless Driving/V, Oper Mtr Vehicle U/influ Alc/Drugs/Etc. .08(Agg Circum) 1st off/m",No,Cleared By Arrest,Pine St & South Limestone St,38.042646,-84.502291
DUI,20143182,11/15/2014 - 2:25am,11/15/14,"DISREGARD TRAFFIC REGULATION 1ST OFFENSE, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Assault,201433647,10/19/2014 - 1:06am,10/19/14,ASSAULT 4TH (MINOR INJURY) X2,No,Closed - Referred to Another Agency,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Drug Violations,2014167925,10/04/2014 - 2:20am,10/7/14,"DISORDERLY CONDUCT 2ND/M, POSS OF MARIJUANA/M",No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
DUI,20142564,09/19/2014 - 3:05pm,9/19/14,"Reckless Driving/v, Oper Mtr Vehicle u/influence Alc/Drugs/Etc. .08-1st off/m",No,Cleared By Arrest,South Limestone and Pine Street,38.042646,-84.502291
Drug Violations,20142539,09/17/2014 - 2:06am,9/17/14,"No registration plates/v, Oper Mtr Vehicle u/influence Alc/Drugs/Etc. .08-1st/m, Drug Paraphernalia-buy/possess/m.",No,Cleared By Arrest,South Limestone and Pine Street,38.042646,-84.502291
Alcohol Intoxication,20141906,07/20/2014 - 3:09am,7/20/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,20141477,06/04/2014 - 5:23pm,6/4/14,"CRIMINAL TRESPASSING 3RD x2, DRINK ALCOHOLIC BEV IN PUBLIC PLACE (1ST & 2ND OFFENSE) x2, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE)",No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,2014088156,05/30/2014 - 11:00pm,6/3/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
DUI,2014078194,05/14/2014 - 2:35am,5/16/14,DUI ALC/DRUGS/ECT 1ST OFFENS/M.,No,Closed - Lexington Police Report,South Limestone and Pine Street,38.042646,-84.502291
Alcohol Intoxication,20140824,04/01/2014 - 12:50am,4/1/14,Alcohol Intox in a Public Place (1st or 2nd Offense/V,No,Cleared By Arrest,South Limestone at Pine Street,38.042646,-84.502291
Disorderly Conduct,2014033290,02/28/2014 - 12:36pm,3/5/14,DISORDERLY CONDUCT 2ND,No,Closed - Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,38.042646,-84.502291
Alcohol Intoxication,20140534,03/02/2014 - 2:40am,3/2/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,20140458,02/22/2014 - 12:10am,2/22/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,20140376,02/13/2014 - 8:52pm,2/13/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,2015182087,10/23/2015 - 12:19am,10/28/15,"ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE), DISORDERLY CONDUCT 2ND DEGREE/M, REPRESENTING AS ONES OWN ANOTHER OPERATOR LICENSE",No,Closed - Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,38.042646,-84.502291
Alcohol Intoxication,2015152672,09/05/2015 - 12:08am,9/9/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Liquor Law Violation,2015152693,09/05/2015 - 12:41am,9/9/15,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,2015147680,08/29/2015 - 12:40am,9/1/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Drug Violations,2015146858,08/27/2015 - 11:48pm,9/1/15,"TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M X2, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED X2, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, RESISTING ARREST/M, POSSESSION OF HANDGUN BY CONVICTED FELON/F",No,Closed - Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,38.042646,-84.502291
Alcohol Intoxication,2015142970,08/21/2015 - 10:40pm,8/25/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,38.042646,-84.502291
Alcohol Intoxication,2015142275,08/20/2015 - 10:30pm,8/25/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Terroristic Threatening,20151810,08/15/2015 - 10:27pm,8/15/15,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), TERRORISTIC THREATENING 3RD/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,2015128049,07/30/2015 - 6:00pm,8/4/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,20151455,07/03/2015 - 5:28am,7/3/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Alcohol Intoxication,201511878,04/24/2015 - 3:56am,4/24/15,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M,No,Closed - N/A,SOUTH LIMESTONE ST & PINE ST,38.042646,-84.502291
Sex Offenses,20161200,05/31/2016 - 9:00am,6/1/16,"SEXUAL ABUSE, 1ST DEGREE, VICTIM U/12 YEARS OF AGE",No,Open,135 E MAXWELL ST,38.042682,-84.499971
Alcohol Intoxication,2014103040,06/23/2014 - 11:49pm,6/23/14,"ALCOHOL INTOXICATION IN A PUBLIC PLACE, MENACING, RESISTING ARREST",No,Closed - Lexington Police Report,341 SOUTH LIMESTONE ST,38.042738,-84.502614
Sex Offenses,2013185984,11/07/2013 - 12:00am,11/20/13,SEXUAL ABUSE 3RD/M,No,Closed - Lexington Police Report,JERSEY ST,38.042758,-84.503202
Harassment,20133042,11/06/2013 - 6:20am,11/6/13,HARASSMENT (NO PHYSICAL CONTACT),No,Closed,JERSEY ST,38.042758,-84.503202
Alcohol Intoxication,20132716,10/04/2013 - 2:30am,10/4/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Drug Violations,20132215,08/23/2013 - 1:04am,8/23/13,"RECEIVING STOLEN PROPERTY (FIREARM)/F, TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M, TRAFF IN CONT SUB 1ST DEGREE, 1ST OFF (> OR = 4 GMS COCAINE)/F",No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
DUI,20132214,08/23/2013 - 2:43am,8/23/13,"CARELESS DRIVING, OPER MT VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST/M, OPERATING ON SUS OR REV OPER LICENSE/M",No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Drug Violations,20131484,05/25/2013 - 12:45am,5/25/13,"POSS OF MARIJUANA/M X3, CARELESS DRIVING",No,Citation issued,JERSEY ST,38.042758,-84.503202
Drug Violations,20131339,05/09/2013 - 11:56pm,5/9/13,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Citation issued,JERSEY ST,38.042758,-84.503202
DUI,20130504,02/17/2013 - 3:18am,2/17/13,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC..08/M,No,Cleared By Arrest,JERSEY STREET,38.042758,-84.503202
Weapons Possession,2013022504,02/15/2013 - 2:41am,2/15/13,ASSIST OUTSIDE AGENCY REFERENCE DUI 1ST; FIREARMS VIOLATION,No,Closed - Lexington Police Report,JERSEY STREET,38.042758,-84.503202
Liquor Law Violation,201301085,02/08/2013 - 1:20am,2/11/13,"ALCOHOL INTOXICATION IN A PUBLIC PLACE-1ST & 2ND OFFENSE, PERSON 18-20 USE/ATT USE FALSE ID TO OBTAIN ALCO 1",No,Closed - Lexington Police Report,JERSEY ST,38.042758,-84.503202
DUI,20130356,02/02/2013 - 1:39am,2/2/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08/M; REAR LICENSE NOT ILLUMINATED,No,Cleared By Arrest,JERSEY STREET,38.042758,-84.503202
Alcohol Intoxication,20130344,02/01/2013 - 2:37am,2/1/13,ALCOHOL INTOXICATION IN A PUBLIC PLACE; RESISTING ARREST/M,No,Cleared By Arrest,JERSEY STREET,38.042758,-84.503202
DUI,20130288,01/28/2013 - 2:44am,1/28/13,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC..08/M; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED,No,Cleared By Arrest,JERSEY STREET,38.042758,-84.503202
Assault,20130278,01/27/2013 - 3:05am,1/27/13,ASSAULT 4TH (MINOR INJURY)/M,No,Closed,JERSEY STREET,38.042758,-84.503202
Weapons Possession,201439615,12/05/2014 - 2:30am,12/5/14,"DISORDERLY CONDUCT, CONCEALED CARRY OF A DEADLY WEAPON, ALCOHOL INTOXICATION IN A PUBLIC PLACE",No,Closed - Disciplinary Referral,JERSEY ST,38.042758,-84.503202
Alcohol Intoxication,2014200491,12/01/2014 - 12:00am,12/1/14,"ALCOHOL INTOXICATION IN A PUBLIC PLACE, ASSAULT 4TH, DISORDERLY CONDUCT",No,Closed - Lexington Police Report,JERSEY ST,38.042758,-84.503202
DUI,20143104,11/07/2014 - 2:45am,11/7/14,"OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, NO REGISTRATION PLATES",No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Alcohol Intoxication,20142841,10/12/2014 - 3:51am,10/12/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Drug Violations,20142692,09/30/2014 - 10:27pm,9/30/14,Poss of Marijuana/m,No,Citation issued,Jersey Street,38.042758,-84.503202
Alcohol Intoxication,20142477,09/11/2014 - 2:57am,9/11/14,Alcohol Intox in a Public Place (1st & 2nd offense/v,No,Cleared By Arrest,Jersey Street,38.042758,-84.503202
Alcohol Intoxication,20141943,07/25/2014 - 2:50am,7/25/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) X2,No,Cleared By Arrest,PINE STREET/JERSEY STREET,38.042758,-84.503202
Alcohol Intoxication,20141901,07/19/2014 - 6:00pm,7/19/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) x2,No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Receiving Stolen Property,20141886,07/18/2014 - 11:22pm,7/18/14,"RECEIVING STOLEN PROPERTY $10,000 OR MORE/F, NO REGISTRATION PLATES, OPERATING VEHICLE WITH EXPIRED OPERATORS LICENSE/M",No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Alcohol Intoxication,20141816,07/11/2014 - 1:00am,7/11/14,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
DUI,20141742,07/04/2014 - 3:57am,7/4/14,"CARELESS DRIVING, REAR LICENSE NOT ILLUMINATED, OPER MTR VEHICLE U/INFLUENCE ALC/DRUG/ETC .08 1ST/M",No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
Criminal Trespass,20141528,06/07/2014 - 6:57pm,6/7/14,Criminal Trespassing 3rd/V.,No,Cleared By Arrest,Jersey Street,38.042758,-84.503202
Alcohol Intoxication,20141438,05/29/2014 - 1:23am,5/29/14,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M",No,Cleared By Arrest,JERSEY ST,38.042758,-84.503202
